날짜,마켓,순위,판매처,상품명(모델명),제조사(브랜드),CPU,VGA,메모리,SSD,OS,디스플레이,정상가,판매가,혜택가,쿠폰/카드혜택,URL
2026-06-28,지마켓,13,G마켓,LG전자 LG 그램15 15Z95N 11세대 i5 8G NVME256G 윈10,LG전자,I5,integrated,,,,,,628880,628880,,https://link.gmarket.co.kr/gate/pcs?item-no=3725509826&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,14,G마켓,삼성전자 삼성전자 노트북 플러스 NT550XCJ-K58WA /IR,삼성전자,,integrated,,,,,,1794870,1794870,,https://link.gmarket.co.kr/gate/pcs?item-no=2677559014&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,15,G마켓,애플 애플 맥북 네오 (A18 Pro) 8GB 256GB 블러시 MHFH4KH/A,Apple,,integrated,8GB,256GB,,,,1190000,1190000,,https://link.gmarket.co.kr/gate/pcs?item-no=4691520962&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,16,G마켓,레노버 Slim3-17ABA7 R5 R5 5625U 8G 256G IPS 300nit DOS 아틱그레이,Lenovo,,integrated,,,,,,685720,685720,,https://link.gmarket.co.kr/gate/pcs?item-no=2753808690&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,17,G마켓,기가바이트 GIGABYTE AERO X16 1VH 93KRC94D(루나 화이트),Gigabyte,,integrated,,,,,,2149000,2149000,,https://link.gmarket.co.kr/gate/pcs?item-no=4427754653&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,18,G마켓,기가바이트 기가바이트 Gaming A16 3WHD 라이젠 R7 RTX5070 지포스 게이밍 노트북 QHD,Gigabyte,,RTX5070,,,,,,2949000,2949000,,https://link.gmarket.co.kr/gate/pcs?item-no=4468443188&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,19,G마켓,삼성전자 삼성전자 갤럭시북5 NT750XHD-KC51G +한컴오피스 JFD,삼성전자,,integrated,,,,,,1745220,1745220,,https://link.gmarket.co.kr/gate/pcs?item-no=4647624288&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,20,G마켓,삼성전자 삼성 NT551EBE 8세대 i5 램8G SSD256 윈10 중고 노트북,삼성전자,I5,integrated,,,,,,281780,281780,,https://link.gmarket.co.kr/gate/pcs?item-no=2750549159&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,21,G마켓,삼성전자 삼성전자 갤럭시북6 프로 NT960XJG-KD72G 그레이 무료배송,삼성전자,,integrated,,,,,,4061560,4061560,,https://link.gmarket.co.kr/gate/pcs?item-no=4754894294&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-28,지마켓,22,G마켓,삼성전자 삼성 오디세이 NT850XCJ-YC716 정품,삼성전자,,integrated,,,,,,2680870,2680870,,https://link.gmarket.co.kr/gate/pcs?item-no=3120591684&sub-id=1003&service-code=10000003&lcd=100000002
